Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Latvia,Price / Latvia,Compare At Price / Latvia,Included / International,Price / International,Compare At Price / International,Included / North Africa,Price / North Africa,Compare At Price / North Africa,Status
savvy-shoulder-tote,Savvy Shoulder Tote,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p>
<ul>
<li>Water-resistant shell.</li>
<li>Water bottle pocket.</li>
<li>Padded, articulating shoulder strap.</li>
<li>Dimensions: W 21"" x H 15"" x D 10"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB05,0.0,,deny,manual,32.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb05-red-0.jpg?v=1719332889,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb05-red-0.jpg?v=1719332889,kg,,,true,,,true,,,true,,,active
compete-track-tote,Compete Track Tote,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.</p><p>
</p><ul>
<li>Two-way zippers.</li>
<li>Contrast detailing.</li>
<li>W 22.0"" x H 17"" x D 10"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB02,0.0,,deny,manual,32.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb02-green-0.jpg?v=1719332887,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb02-green-0.jpg?v=1719332887,kg,,,true,,,true,,,true,,,active
voyage-yoga-bag,Voyage Yoga Bag,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p>
<ul>
<li>Slip pocket on front.</li>
<li>Contrast piping.</li>
<li>Durable nylon construction.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WB01,0.0,,deny,manual,32.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb01-black-0.jpg?v=1719332885,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wb01-black-0.jpg?v=1719332885,kg,,,true,,,true,,,true,,,active
impulse-duffle,Impulse Duffle,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14"" x H 26"" x D 11"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-UB02,0.0,,deny,manual,74.00,74.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ub02-black-0.jpg?v=1719332882,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/ub02-black-0.jpg?v=1719332882,kg,,,true,,,true,,,true,,,active
fusion-backpack,Fusion Backpack,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p>
<ul>
<li>Durable nylon construction.</li>
<li>2 main zippered compartments.</li>
<li>1 exterior zippered pocket.</li>
<li>Mesh side pouches.</li>
<li>Padded, adjustable straps.</li>
<li>Top carry handle.</li>
<li>Dimensions: 18"" x 10"" x 6"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB02,0.0,,deny,manual,59.00,59.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb02-blue-0.jpg?v=1719332880,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb02-gray-0.jpg?v=1719332880,kg,,,true,,,true,,,true,,,active
fusion-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb02-gray-0.jpg?v=1719332880,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
rival-field-messenger,Rival Field Messenger,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p>
<ul>
<li>Leather construction.</li>
<li>Adjustable fabric carry strap.</li>
<li>Dimensions: 18"" x 10"" x 4"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB06,0.0,,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb06-gray-0.jpg?v=1719332877,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb06-gray-0.jpg?v=1719332877,kg,,,true,,,true,,,true,,,active
wayfarer-messenger-bag,Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB05,0.0,,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb05-black-0.jpg?v=1719332874,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb05-black-0.jpg?v=1719332874,kg,,,true,,,true,,,true,,,active
crown-summit-backpack,Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul></ul>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB03,0.0,,deny,manual,38.00,38.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb03-black-0_alt1.jpg?v=1719332872,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb03-black-0.jpg?v=1719332872,kg,,,true,,,true,,,true,,,active
crown-summit-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb03-black-0.jpg?v=1719332872,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
strive-shoulder-pack,Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB04,0.0,,deny,manual,32.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb04-black-0_alt1.jpg?v=1719332869,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb04-black-0.jpg?v=1719332869,kg,,,true,,,true,,,true,,,active
strive-shoulder-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb04-black-0.jpg?v=1719332869,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
joust-duffle-bag,Joust Duffle Bag,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.</p><p>
</p><ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MB01,0.0,,deny,manual,34.00,34.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb01-blue-0.jpg?v=1719332865,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mb01-blue-0.jpg?v=1719332865,kg,,,true,,,true,,,true,,,active
didi-sport-watch-24-wg02,Didi Sport Watch,"<p>The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Rubber strap with buckle clasp.</li>
<li>1-year limited warranty.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG02,0.0,,deny,manual,92.00,92.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg02-bk-0.jpg?v=1719332863,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg02-bk-0.jpg?v=1719332863,kg,,,true,,,true,,,true,,,active
clamber-watch-24-wg03,Clamber Watch,"<p>Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.</p>
<ul>
<li>Japanese quartz movement.</li>
<li>Strap fits 5"" to 6.0"".</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG03,0.0,,deny,manual,54.00,54.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg03-gr-0.jpg?v=1719332861,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg03-gr-0.jpg?v=1719332861,kg,,,true,,,true,,,true,,,active
bolo-sport-watch-24-wg01,Bolo Sport Watch,"<p>The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.</p>
<ul>
<li>Displays time, day and date.</li>
<li>Two-tone design.</li>
<li>12/24 hour formats.</li>
<li>Nickel-free buckle on band.</li>
<li>Battery included.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG01,0.0,,deny,manual,49.00,49.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg01-bk-0.jpg?v=1719332859,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg01-bk-0.jpg?v=1719332859,kg,,,true,,,true,,,true,,,active
luma-analog-watch-24-wg09,Luma Analog Watch,"<p>Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.</p>
<ul>
<li>Precision Miyota® three-hand movement.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-WG09,0.0,,deny,manual,43.00,43.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg09-gr-0.jpg?v=1719332856,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg09-gr-0.jpg?v=1719332856,kg,,,true,,,true,,,true,,,active
dash-digital-watch-24-mg02,Dash Digital Watch,"<p>The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Rubber strap with buckle clasp.</li>
<li>1-year limited warranty.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MG02,0.0,,deny,manual,92.00,92.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg02-bk-0.jpg?v=1719332854,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg02-bk-0.jpg?v=1719332854,kg,,,true,,,true,,,true,,,active
cruise-dual-analog-watch-24-mg05,Cruise Dual Analog Watch,"<p>Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.</p>
<ul>
<li>Two dials.</li>
<li>Stainless steel case.</li>
<li>Adjustable leather band.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MG05,0.0,,deny,manual,55.00,55.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg05-br-0.jpg?v=1719332852,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg05-br-0.jpg?v=1719332852,kg,,,true,,,true,,,true,,,active
summit-watch-24-mg03,Summit Watch,"<p>Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.</p>
<ul>
<li>Brushed metal case.</li>
<li>Water resistant (100 meters).</li>
<li>Buckle clasp.</li>
<li>Strap fits 7"" - 10"".</li>
<li>1-year limited warranty.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MG03,0.0,,deny,manual,54.00,54.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg03-br-0.jpg?v=1719332850,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/mg03-br-0.jpg?v=1719332850,kg,,,true,,,true,,,true,,,active
endurance-watch-24-mg01,Endurance Watch,"<p>It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Strap fits 7"" to 10"".</li>
<li>1-year limited warranty.</li>
<li>Comes with polished metal case.</li>
</ul>",Satoshi demo,,"","",true,Title,Default Title,,,,,,,,24-MG01,0.0,,deny,manual,49.00,49.00,true,true,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg01-bk-0.jpg?v=1719332847,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0868/7602/9203/files/wg01-bk-0.jpg?v=1719332847,kg,,,true,,,true,,,true,,,active
